編號,設施地點（戶外或室內）,名稱,行政區,地址,經度,緯度,市話,分機,手機,其他聯絡方式,開放時間,電風扇,冷氣,廁所,座位,飲水設施（例如：飲水機；直飲台；奉茶點等）,無障礙座位,其他特色及亮點,備註
158,室內,大直市場,中山區,北安路458巷41弄3號,121.54593,25.07875,(02)25322782,,,,7:00-13:00,Y,N,Y,N,N,N,,
159,室內,中山市場,中山區,長安西路3號,121.52178,25.05034,(02)25512743,,,,8:30-17:30,Y,N,Y,N,N,N,,
160,室內,中山商場,中山區,保儀路13巷3號,121.52174,25.0512,(02)25510098,,,,8:00-20:00,N,N,N,N,N,N,,
161,室內,行天宮商場,中山區,民權東路二段(地下人行道),121.53356,25.06286,(02)25057271,,,,7:00-23:00,N,N,N,Y,N,N,,
162,室內,松江市場,中山區,錦州街222號,121.53229,25.06033,(02)25677101,,,,6:00-0:00,N,Y,Y,N,Y,N,,
163,室內,長春市場,中山區,長春路299號,121.54238,25.05488,(02)25028202,,,,8:00-20:00,N,N,Y,N,N,N,,
164,室內,建國市場,中山區,伊通街94巷4號,121.53442,25.05378,(02)25072615,,,,8:00-20:00,N,N,N,N,N,N,,
165,室內,中山區行政中心,中山區,松江路367號1樓、5樓,121.5336407,25.0643545,(02)25031369,,,,"週一至週五8:30-17:30
(例假日及國定假日除外)",Y,Y,Y,Y,Y,N,,
166,室內,中山公民會館,中山區,中山北路二段128號,121.522691,25.061687,(02)25314169,,,,"週二至週五9:00-21:00、週六
9:00-17:00",Y,Y,Y,N,Y,N,,
167,戶外,心中山線形公園,中山區,中山北路二段48巷7號,121.521341,25.05597,(02)21812345,,,,24小時,N,N,N,Y,N,N,,
168,室內,圖書館中山分館,中山區,松江路367號8樓,121.5335169,25.06453484,(02)25026442,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
169,室內,圖書館長安分館,中山區,長安西路3號4樓,121.52092,25.05031,(02)25625540,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
170,室內,圖書館大直分館,中山區,大直街25號3-5樓,121.546765,25.081934,(02)25336535,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
171,室內,恆安民眾閱覽室,中山區,民權東路一段71巷19號,121.5272581,25.06357855,(02)25395482,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
172,戶外,MAJI美食商城,中山區,中山區玉門街1號,121.5221566,25.0698286,(02)25977112,208,,,"周日至周四 10:00-22:00
周五、周六 10:00-24:00",N,N,Y,Y,N,N,,
173,戶外,花博公園-長廊廣場,中山區,中山區玉門街1號,121.5214,25.0706,(02)21828886,,,,24小時,N,N,Y,Y,N,N,,
174,室內,聯合醫院中山門診部,中山區,松江路367號,121.533629,25.064558,(02)25013363,,,,"08:30-11:30
(中午休息)
13:30-16:30",N,Y,Y,Y,Y,Y,,"星期六、日
休息"
175,室內,中山運動中心,中山區,中山北路二段44巷2號,121.521302,25.05507654,(02)25811060,,,,6:00-22:00,Y,Y,Y,Y,Y,N,,
176,室內,榮星花園游泳池,中山區,建國北路三段39號,121.5377179,25.06413656,(02)25079366,,,,5:30-22:00,Y,Y,Y,Y,Y,N,,
177,戶外,迎風碼頭(大直橋下碼頭),中山區,橋下水域休憩碼頭,121.544132,25.075807,(03)4862200,,,,9:00-17:30,N,N,N,N,N,N,,
178,戶外,中央藝文公園,中正區,北平東路,121.5268208,25.04625728,(02)23032451,,,,24小時,N,N,Y,Y,Y,N,,直飲台
179,戶外,中央藝文公園-遊戲場,中正區,北平東路,121.5268208,25.04625728,(02)23032451,,,,24小時,N,N,Y,Y,Y,N,,直飲台
180,戶外,逸仙公園,中正區,中山北路一段46號,121.5200714,25.04768548,(02)23032451,,,,24小時,N,N,Y,Y,N,N,,
181,戶外,二二八公園,中正區,凱達格蘭大道3號,121.5150361,25.04154262,(02)23032451,,,,24小時,N,N,Y,Y,Y,N,,直飲台
182,戶外,青島一館人行天橋,中正區,青島東路至立法院一館前,121.520525,25.044216,(02)87913835,,,,24小時,N,N,N,N,N,N,,
183,室內,逸仙公園國父史蹟館,中正區,中山北路一段46號,121.520168,25.04793819,(02)23032451,,,,8:00-17:00,N,Y,Y,Y,N,N,,展覽館
184,室內,臺北記憶倉庫,中正區,忠孝西路一段265號,121.5124,25.0477,(02)23714597,,,,每週二–週日，11:00–19:00,N,Y,Y,Y,N,N,,每週一休館
185,室內,嘉禾新村,中正區,永春街131巷1號,121.527158,25.016016,(02)23652530,,,,每週二–週日，11:00–18:00,Y,Y,Y,Y,Y,N,,每週一休館
186,室內,紀州庵文學森林,中正區,同安街 107 號,121.520688,25.02163258,(02)23687577,,,,"每週二–週日，10:00-18:00
1.古蹟：週五延至21:00
2.新館：週五、週六延至21:00",N,Y,Y,Y,Y,N,,每週一休館
187,室內,中山堂管理所,中正區,延平南路98號,121.5096928,25.04319964,(02)23813137,,,,每週二–週日，9:00-17:00,N,Y,Y,Y,Y,N,展覽空間,每月週一休館
188,室內,北水處西區營業分處服務台,中正區,牯嶺街38號,121.516493,25.029748,(02)33431678,,,,8:30-17:30,N,Y,Y,Y,Y,N,,
189,室內,北水處南區營業分處服務台,中正區,思源街1號,121.530593,25.01359,(02)83695123,,,,8:30-17:30,N,Y,N,Y,Y,N,,
190,室內,水源市場,中正區,羅斯福路四段92號,121.53493,25.01376,(02)23650797,,,,7:00-20:00,N,Y,Y,N,Y,N,,
191,室內,光華商場,中正區,市民大道三段8號,121.53191,25.04537,(02)23412202,,,,11:00-21:00,Y,Y,Y,Y,Y,N,,
192,室內,幸安市場,中正區,濟南路二段46號,121.53083,25.04043,(02)23945706,,,,8:00-19:00,Y,Y,Y,N,N,N,,
193,室內,東門市場,中正區,信義路二段81號,121.52701,25.03476,(02)23939424,,,,7:00-14:00,Y,N,Y,N,N,N,,
194,室內,華山市場,中正區,臺北市中正區號,121.52483,25.04438,(02)23936571,,,,"1樓：
9:00-19:00
2樓：
飲食攤
5:00-14:00
百貨攤
9:00-19:00
（週日1樓及2樓營業時間為9:00-14:00）",Y,Y,Y,Y,N,N,,
195,室內,新生市場,中正區,新生南路一段134之1號,121.53249,25.03703,(02)23215118,,,,9:00-20:00,Y,N,Y,N,N,N,,
196,室內,台北地下街,中正區,市民大道1段100號,121.5135772,25.0470259,(02)25594566,,,,11:00-21:30,N,Y,Y,Y,Y,N,,
197,室內,K區地下街,中正區,忠孝西路1段47號,121.5135879,25.047026,(02)23812766,,,,11:00-22:00,N,Y,Y,Y,N,N,,
198,室內,站前地下街,中正區,忠孝西路1段50-1號,121.515793,25.046433,(02)23751567,,,,11:00-20:00,N,Y,Y,Y,N,N,,
199,室內,中正區行政中心,中正區,羅斯福路一段8號6樓,121.5183599,25.03219376,(02)23416721,,,,"週一至週五8:30-17:30
(例假日及國定假日除外)",Y,Y,Y,Y,Y,N,,
200,室內,臺北市客家文化中心,中正區,臺北市中正區汀州路三段2號,121.5252101,25.0201848,(02)23691198,,,,"週二至週日
9:00-18:00",Y,Y,Y,Y,Y,N,客家文化展示,
201,室內,臺北市客家音樂戲劇中心,中正區,臺北市中正區汀州路三段2號,121.5257466,25.01965014,(02)23691198,,,,"週二至週日
9:00-18:00",Y,Y,Y,Y,Y,N,,
202,戶外,臺北市客家文化主題公園-禾埕廣場,中正區,臺北市中正區汀州路三段2號,121.5255216,25.01988009,(02)23691198,,,,24小時,N,N,Y,N,N,N,,
203,戶外,臺北市客家文化主題公園-好食廣場,中正區,臺北市中正區汀州路三段2號,121.5251675,25.020032,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
204,戶外,臺北市客家文化主題公園-伯公亭,中正區,臺北市中正區汀州路三段2號,121.524534,25.02003762,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
205,戶外,臺北市客家文化主題公園-土坡涼亭,中正區,臺北市中正區汀州路三段2號,121.5246849,25.01906074,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
206,戶外,臺北市客家文化主題公園-北林蔭步道,中正區,臺北市中正區汀州路三段2號,121.5241062,25.02055599,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
207,戶外,臺北市客家文化主題公園-西林蔭步道,中正區,臺北市中正區汀州路三段2號,121.5240158,25.01954616,(02)23691198,,,,24小時,N,N,Y,N,N,N,,
208,戶外,臺北市客家文化主題公園-南林蔭步道,中正區,臺北市中正區汀州路三段2號,121.525073,25.01913027,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
209,室內,臺北市客家圖書影音中心,中正區,臺北市中正區羅斯福路一段95巷1號,121.5205136,25.03109725,(02)23973733,,,,週二至週六10:00-21:00,Y,Y,Y,Y,Y,N,,
210,室內,西門地下街,中正區,中華路1段51-1號,121.509075,25.043959,(02)21812345,,,,"6:00-01:00
(公共空間及通道開放時間)",N,Y,Y,N,N,N,,
211,室內,王貫英紀念館,中正區,汀州路二段265號,121.52415,25.02282,(02)23678734,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
212,室內,圖書館城中分館,中正區,濟南路二段46號3樓,121.53105,25.04041,(02)23938274,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,Y,,國定假日、每月第一個星期四為休館日
213,室內,古亭國中智慧圖書館,中正區,寧波西街286號,121.5107886,25.02529008,(02)23391056,,,,9:00-21:00,Y,Y,Y,Y,N,N,,國定假日為休館日
214,室內,中正運動中心,中正區,信義路1段1號,121.5193474,25.03868779,(02)23961000,,,,6:00-22:00,Y,Y,Y,Y,Y,N,製冰機,
215,戶外,碧湖公園,內湖區,內湖路二段175號,121.585547,25.082405,(02)26586601,,,,24小時,N,N,Y,Y,Y,N,,直飲台
216,戶外,大港墘公園-遊戲場,內湖區,瑞光路391號,121.573375,25.077973,(02)26586601,,,,24小時,N,N,Y,Y,Y,N,,直飲台
217,戶外,大港墘公園-遊戲場,內湖區,瑞光路391號.(六期重劃),121.5735338,25.07784526,(02)26586601,,,,24小時,N,N,Y,Y,Y,Y,,
218,戶外,西湖公園-遊戲場,內湖區,內湖路一段387巷3弄5-11號旁(恕德家商旁).,121.5703519,25.08380182,(02)26586601,,,,24小時,N,N,Y,Y,N,N,,
219,戶外,文德3號公園-遊戲場,內湖區,文德路50號至江南街71巷16弄.,121.58043,25.07792151,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
220,戶外,潭美公園-遊戲場,內湖區,"新明路298巷起至成功路二段,潭美國小旁.",121.58189,25.05707,(02)26586601,,,,24小時,N,N,Y,Y,N,N,,
221,戶外,石潭公園-遊戲場,內湖區,成功路二段東側(麥帥公路兩側).,121.59231,25.06179,(02)26586601,,,,24小時,N,N,Y,Y,Y,N,,直飲台
222,戶外,碧湖公園-遊戲場,內湖區,"內湖路二段175號,國立台灣戲曲學院旁(防災公園).",121.58314,25.08267,(02)26586601,,,,24小時,N,N,Y,Y,Y,N,,直飲台
223,戶外,清白公園-遊戲場,內湖區,成功路四段167巷16號對面 (康寧國小旁),121.59452,25.0822,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
224,戶外,下灣公園-遊戲場,內湖區,成功路二段189號旁.,121.59079,25.06683,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
225,戶外,成功公園-遊戲場,內湖區,成功路四段旁223巷旁,121.59721,25.08428,(02)26586601,,,,24小時,N,N,N,Y,Y,N,,直飲台
226,戶外,瑞光公園-遊戲場,內湖區,瑞光路132巷旁.(六期重劃),121.5782222,25.07153452,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
227,戶外,樂活公園-遊戲場,內湖區,康樂街61巷15弄旁.,121.61884,25.06828,(02)26586601,,,,24小時,N,N,N,Y,Y,N,,直飲台
228,戶外,明美公園-遊戲場,內湖區,南京東路六段北側(內湖五期重劃區).,121.58559,25.06272,(02)26586601,,,,24小時,N,N,Y,Y,N,N,,
229,戶外,上灣公園-遊戲場,內湖區,民權東路六段210巷43號旁.,121.59781,25.06581,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
230,戶外,西安公園-遊戲場,內湖區,環山路一段106號旁(德明專商捐贈).,121.5677791,25.08743673,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
231,戶外,西康公園-遊戲場,內湖區,內湖路一段225巷右側,121.5643864,25.08315456,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
232,戶外,港華六號公園-遊戲場,內湖區,麗山街269巷1號前.,121.5747397,25.08424561,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
233,戶外,港都公園-遊戲場,內湖區,港華街40號旁.,121.5752363,25.08277091,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
234,戶外,港墘公園-遊戲場,內湖區,內湖路一段667巷9號,121.5764235,25.08086982,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
235,戶外,瑞陽公園-遊戲場,內湖區,文德路22巷9弄間.,121.5793323,25.07758074,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
236,戶外,文德二號公園-遊戲場,內湖區,文德路208巷加油站旁.,121.5837167,25.07692393,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
237,戶外,金瑞公園-遊戲場,內湖區,金龍路213巷1弄旁.(原為金湖公園),121.58798,25.08798,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
238,戶外,碧山公園-遊戲場,內湖區,內湖路三段60巷11號對面,121.61789,25.04502,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
239,戶外,福壽公園-遊戲場,內湖區,星雲街150巷18號旁.,121.59661,25.0798,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
240,戶外,新明公園-遊戲場,內湖區,新明路460巷內.,121.57866,25.05413,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
241,戶外,湖聖公園-遊戲場,內湖區,成功路二段305巷11號旁.(四期重劃),121.59182,25.06981,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
242,戶外,康寧公園-遊戲場,內湖區,康寧路三段56巷內(明湖國中後).,121.60975,25.06902,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
243,戶外,樂康公園-遊戲場,內湖區,康樂街61巷73弄底.,121.62078,25.07009,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
244,戶外,安康公園-遊戲場,內湖區,康寧路三段220號南湖高中旁.,121.6129894,25.06683007,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
245,戶外,仙樹公園-遊戲場,內湖區,環山路一段59巷14弄旁.,121.5682569,25.08533485,(02)26586601,,,,24小時,N,N,Y,Y,N,N,,
246,戶外,港華一號公園-遊戲場,內湖區,環山路二段50巷底左側.,121.5735937,25.08776875,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
247,戶外,湖山六號公園-遊戲場,內湖區,大湖街166巷大湖派出所後方.,121.60203,25.08303,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
248,戶外,洲子二號公園-遊戲場,內湖區,"瑞光路498號對面,仁寶電子公司旁.(環保公園；仁寶捐贈、六期重劃)",121.5690017,25.07963432,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
249,戶外,麗湖公園-遊戲場,內湖區,金湖路363巷67弄63號對面.(四期重劃),121.60052,25.07339,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
250,戶外,行善公園-遊戲場,內湖區,新明路558號對面.(平均地權基金),121.57569,25.05321,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
251,戶外,美善公園-遊戲場,內湖區,行善路59巷旁.(平均地權基金),121.57862,25.05706,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
252,戶外,煙波庭公園-遊戲場,內湖區,大湖街131巷18弄61號對面.,121.59929,25.08634,(02)26586601,,,,24小時,N,N,Y,Y,N,N,,
253,戶外,九華公園-遊戲場,內湖區,內湖路1段91巷39弄35-1號.,121.5611934,25.08858005,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
254,戶外,西康2號公園-遊戲場,內湖區,環山路一段28巷,121.5640005,25.08501394,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
255,戶外,湖元公園-遊戲場,內湖區,民權東路六段120巷3弄1號對面.,121.5870426,25.06827857,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
256,戶外,五分公園-遊戲場,內湖區,安康路448號對面.,121.61505,25.06728,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
257,戶外,東湖一號公園-遊戲場,內湖區,康寧路三段189巷159弄旁.,121.61226,25.07562,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
258,戶外,安泰公園-遊戲場,內湖區,安泰街45巷11弄旁.,121.61845,25.07407,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
259,戶外,安湖三號公園-遊戲場,內湖區,東湖路113巷51號旁.,121.61564,25.0705,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
260,戶外,東湖四號公園-遊戲場,內湖區,"康樂街110巷16弄20號,康樂派出所前.",121.61806,25.07051,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
261,戶外,湖興公園-遊戲場,內湖區,成功路二段312巷旁.,121.5894703,25.0668819,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
262,戶外,大華湖閱通道,內湖區,成功路二段317巷、317巷50弄口,121.591611,25.069972,(02)87913835,,,,24小時,N,N,N,N,N,N,,
263,戶外,成美右岸河濱公園兒童遊戲場沙坑(設有遮陽網),內湖區,成美橋右岸旁,121.582158,25.054246,(02)27126390,,,,24小時,N,N,Y,Y,N,N,,
264,戶外,內湖污水處理廠附設休閒運動公園-遊戲場,內湖區,舊宗路二段2號,121.5738,25.0676,(02)87919494,,,,24小時,N,Y,Y,Y,Y,Y,,
265,戶外,碧山露營場,內湖區,碧山路26-6號,121.579225,25.104315,(02)27598528,,,,"露營：每周二、三未開放
參觀：09:00-17:00
(每周三休園)",N,N,Y,Y,Y,N,,
266,室內,碧湖公園閱覽室,內湖區,內湖路二段175號,121.5829829,25.0831318,(02)26586601,,,,7:00-23:00,Y,Y,Y,Y,Y,Y,,直飲台
267,室內,內溝溪生態展示館,內湖區,康樂街236之3號,121.6228393,25.08733261,(02)26347851,,,,"09:00-17:00
(星期三休館)",Y,Y,Y,Y,Y,N,,
268,室內,西湖市場,內湖區,內湖路一段285號,121.56654,25.08267,(02)26580144,,,,"1樓：
7:00-13:00
2樓：
11:00-20:00 ",Y,Y,Y,Y,N,N,,
269,室內,內湖區行政中心,內湖區,民權東路六段99號4樓,121.5889687,25.06952722,(02)27925828,,,,"週一至週五8:30-17:30
(例假日及國定假日除外)",Y,Y,Y,Y,Y,N,,
270,室內,內湖公民會館,內湖區,內湖路二段342號,121.5895966,25.08195758,(02)87910048,,,,"週二至週日
8:30-17:30",N,Y,N,N,Y,N,,
272,室內,圖書館內湖分館,內湖區,民權東路六段99號6樓,121.5897117,25.06927802,(02)27918772,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,Y,,國定假日、每月第一個星期四為休館日
273,室內,圖書館東湖分館,內湖區,五分街6號,121.6129748,25.0676384,(02)26323378,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
274,室內,圖書館西湖分館,內湖區,內湖路一段594號,121.57734,25.07895,(02)27973183,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
275,室內,圖書館西中分館,內湖區,內湖路一段285巷66號1-2樓,121.566725,25.08509094,(02)87515497,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
276,戶外,瑞光社會住宅公共空間,內湖區,陽光街321巷1號,121.579,25.07336,(02)25925116,,,,24小時,N,N,N,N,N,N,,
277,戶外,行善社會住宅公共空間,內湖區,行善路266號,121.5815,25.06071,(02)25925116,,,,24小時,N,N,N,N,N,N,,
278,戶外,舊宗社會住宅公共空間,內湖區,舊宗路一段185號,121.5783,25.06227,(02)25925116,,,,24小時,N,N,N,N,N,N,,
279,室內,內湖運動中心,內湖區,洲子街12號,121.58,25.08,(02)26562869,,,,6:00-22:00,Y,Y,Y,Y,Y,N,,
280,室內,臺北市網球中心,內湖區,民權東路六段208號,121.5969511,25.06758449,(02)27951166,,,,6:00-22:00,Y,Y,Y,Y,Y,N,製冰機,
281,室內,大湖公園游泳池,內湖區,成功路五段31號1樓,121.6038068,25.0827948,(02)87911698,,,,5:30-22:00,Y,Y,Y,Y,Y,N,製冰機,
282,戶外,清溪綠地公園,文山區,政大一街,121.580572,24.985165,(02)27839452,,,,24小時,N,N,N,Y,N,N,,
283,戶外,景美運動公園-遊戲場,文山區,景豐街80號,121.54421,25.002318,(02)27839452,,,,24小時,N,N,Y,Y,N,N,,直飲台
284,戶外,景美運動公園-遊戲場,文山區,景豐街80號旁,121.54445,25.00239,(02)27853819,,,,24小時,N,N,Y,Y,Y,N,,直飲台
285,戶外,萬芳10號公園-遊戲場,文山區,萬美街1段121號,121.56152,25.00214,(02)27853819,,,,24小時,N,N,N,Y,Y,N,,
286,戶外,椰城公園-遊戲場,文山區,和平東路四段101巷6弄旁,121.56868,25.00647,(02)27853819,,,,24小時,N,N,N,Y,N,N,,
287,戶外,景華公園-遊戲場,文山區,景興路與景華街交口,121.54368,24.99575,(02)27853819,,,,24小時,N,N,Y,Y,Y,N,,直飲台
288,戶外,景美公園-遊戲場,文山區,育英街45巷旁,121.53759,24.99421,(02)27853819,,,,24小時,N,N,N,Y,Y,N,,直飲台
289,戶外,木柵公園-遊戲場,文山區,興隆路四段46巷旁,121.55995,24.98713,(02)27853819,,,,24小時,N,N,Y,Y,Y,N,,直飲台
290,戶外,萬芳4號公園-遊戲場,文山區,"萬芳社區,萬和街與萬安街16巷交口",121.56858,25.00104,(02)27853819,,,,24小時,N,N,Y,Y,Y,N,,直飲台
291,戶外,萬壽2號公園-遊戲場,文山區,"萬壽路61巷旁,棲霞山莊旁",121.58977,24.98677,(02)27853819,,,,24小時,N,N,N,Y,N,N,,
292,戶外,興隆公園-遊戲場,文山區,興隆路二段154巷與仙岩路交口,121.55109,25.00017,(02)27853819,,,,24小時,N,N,Y,Y,Y,N,,直飲台
293,戶外,清溪綠地-遊戲場,文山區,指南路二段225巷旁,121.58055,24.98509,(02)27853819,,,,24小時,N,N,N,Y,N,N,,
294,戶外,興泰公園-遊戲場,文山區,辛亥路四段166巷內,121.55551,25.00515,(02)27853819,,,,24小時,N,N,N,Y,N,N,,
295,戶外,萬芳9號公園-遊戲場,文山區,萬芳社區萬美街與萬寧街交叉口,121.56148,25.00182,(02)27853819,,,,24小時,N,N,N,Y,N,N,,
296,室內,永安藝文館,文山區,臺北市文山區木新路2段156-1號,121.5689,24.9844,(02)29393088,,,,每週二–週日9:00–18:00,N,N,Y,Y,Y,N,,每週一及國定假日休館
297,室內,文山劇場,文山區,景文街32號,121.541,24.992,(02)29332199,,,,每週二–週日9:00–17:00,N,Y,Y,Y,Y,N,,每週一休館
298,室內,木柵市場,文山區,保儀路13巷3號,121.5694,24.98877,(02)29394052,,,,5:00-18:00,N,Y,Y,N,N,N,,
299,室內,木新市場,文山區,木新路三段310巷4號,121.55721,24.98155,(02)29376758,,,,7:00-18:00,N,Y,Y,N,N,N,,
300,室內,景美市場,文山區,景文街137號,121.54168,24.99144,,,,,"7:00-12:00、
17:00-00:00",N,Y,Y,N,N,N,,
301,室內,興隆市場,文山區,興隆路二段97號,121.54732,25.00016,(02)29349714,,,,7:00-17:00,N,Y,Y,N,N,N,,
302,室內,文山區行政中心,文山區,木柵路三段220號8樓,121.5701317,24.98963312,(02)29365522,,,,"週一至週五8:30-17:30
(例假日及國定假日除外)",Y,Y,Y,Y,Y,N,,
303,室內,文山公民會館,文山區,木柵路三段189號,121.5697284,24.98999207,(02)22346686,,,,"週一至週六9:00-12:00、
14:00-17:00",Y,Y,Y,Y,Y,N,,
304,室內,圖書館景美分館,文山區,羅斯福路五段176巷50號2-4樓,121.5364058,25.00387961,(02)29328457,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
305,室內,圖書館木柵分館,文山區,保儀路13巷3號3-4樓,121.56919,24.98868,(02)29397520,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
306,室內,圖書館萬興分館,文山區,萬壽路27號4樓,121.5770374,24.98899616,(02)22345501,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,Y,,國定假日、每月第一個星期四為休館日
307,室內,圖書館文山分館,文山區,興隆路二段160號7-9樓,121.5514207,25.00161527,(02)29315339,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,Y,,國定假日、每月第一個星期四為休館日
308,室內,圖書館力行分館,文山區,一壽街22號5-8樓,121.55637,24.97967,(02)86612196,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
309,室內,圖書館景新分館,文山區,景後街151號5-10樓,121.54191,24.98994,(02)29331244,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
310,室內,安康民眾閱覽室,文山區,興隆路4段105巷1號 4樓,121.56052,24.98775,(02)29390180,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
311,室內,萬芳民眾閱覽室,文山區,萬美街一段25號1-2樓,121.5693279,25.00238106,(02)22305287,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,Y,,國定假日、每月第一個星期四為休館日
312,室內,臺北市鐵觀音包種茶研發推廣中心,文山區,指南路三段40巷8-2號,121.5943,24.9691,(02)22340568,,,,"周二至周日9:00-17:00
(春節除夕、初一公休)","Y
(部分區域)","Y
(部分區域)",Y,"Y
(部分區域)",Y,N,,
313,戶外,興隆D1區社會住宅公共空間,文山區,木柵路二段2巷12號,121.5578,24.98836,(02)25925116,,,,24小時,N,N,N,N,N,N,,
314,戶外,興隆D2區社會住宅公共空間,文山區,興隆路四段105巷45號,121.5628,24.98833,(02)25925116,,,,24小時,N,N,N,N,N,N,,
315,戶外,木柵社會住宅公共空間,文山區,久康街24巷36號,121.5664,24.98933,(02)25925116,,,,24小時,N,N,N,N,N,N,,
316,戶外,和興水岸社會住宅公共空間,文山區,和興路88號,121.5491,24.98477,(02)25925116,,,,24小時,N,N,N,N,N,N,,
317,室內,文山區健康服務中心1F服務台,文山區,木柵路三段220號1樓,121.570088,24.98974695,(02)22343501,,,,8:30-17:30,Y,Y,Y,Y,Y,N,,
318,室內,文山運動中心,文山區,興隆路三段222號,121.5594978,24.99713106,(02)22308268,,,,6:00-22:00,Y,Y,Y,Y,Y,N,,
319,室內,景美游泳池,文山區,羅斯福路五段176巷50號,121.5363148,25.00400407,(02)29353602,,,,"5月1日至9月30日：6:00-21:30
、10月1日至4月30日(週六、週日及國定假日不開放)：14:00-22:00",Y,Y,Y,Y,Y,N,,
320,戶外,線形公園16號(北投),北投區,磺溪北-明德站南段(界線：文林北路94巷-明德路),121.5195498,25.10865277,(02)28805456,,,,24小時,N,N,N,Y,N,N,高架橋下，設有兒童遊戲場及體健設施,
